id;co2Acv;co2HorsConstr;co2Combustion;co2Seul
voiture_thermique;0.14225;0.11056;0.08955;0.08866
voiture_hybride;0.14658;0.11342;0.09187;0.09095
voiture_electrique;0.06737;0.01209;0.00000;0.00000
covoiturage_2;0.07113;0.05528;0.04478;0.04433
covoiturage_3;0.04742;0.03685;0.02985;0.02955
moto;0.21470;0.14000;0.11340;0.11227
scooter_thermique;0.07630;0.06040;0.04892;0.04843
scooter_elec;0.05930;0.02070;0.00000;0.00000
velo;0.00017;0.00000;0.00000;0.00000
velo_elec;0.01095;0.00223;0.00000;0.00000
trottinette_elec;0.02490;0.00200;0.00000;0.00000
marche;0.00000;0.00000;0.00000;0.00000
bus_thermique;0.12242;0.11350;0.09194;0.09102
bus_electrique;0.02170;0.00950;0.00000;0.00000
autocar;0.03756;0.03314;0.02684;0.02657
tramway;0.00428;0.00380;0.00000;0.00000
metro;0.00444;0.00420;0.00000;0.00000
rer;0.00978;0.00660;0.00000;0.00000
ter;0.02769;0.02290;0.01030;0.01020
intercites;0.00898;0.00580;0.00116;0.00115
tgv;0.00293;0.00230;0.00000;0.00000
avion_court;0.22457;0.22420;0.09979;0.09879
avion_moyen;0.18466;0.18430;0.08205;0.08123
avion_long;0.16679;0.16650;0.07412;0.07337
personnalise;0;0;0;0
